Brand,Model,Previous model,Type,Weight,MSRP,Heel,Toe,Heel drop,Carbon plate,Sizing,Heel fit,Midfoot fit,Toebox fit,Type of cushioning,Amount of cushioning,Stability,Flexibility,Family,Rockplate,Traction,Water resitance
Puma,Magnify Nitro 2,Magnify Nitro,Cushioning,10.7 oz (303 g),$140.00,39 mm.,29 mm.,9 mm.,No plate,True to size,Normal,Normal,Tight,Responsive/balanced,Highly cushioned,Some stability,Rigid,,,,
Asics,METASPEED Edge Paris,Metaspeed Edge,Racing,6.5 oz (184 g),$250.00,39.5 mm.,34.5 mm.,5 mm.,Full length carbon plate,Buy half size bigger,Wide,Normal,Tight,Responsive,Medium cushioning,Some stability,Rigid,,,,
Puma,Velocity Nitro 3,Velocity Nitro 2,Cushioning,9.17 oz (260 g),$135.00,36 mm.,26 mm.,10 mm.,No plate,True to size,Normal,Tight,Tight,Balanced,Medium cushioning,Some stability,Medium,,,,
Saucony,Guide 17,Guide 16,Road,9.4 oz (266 g),$140.00,35 mm.,29 mm.,6 mm.,No plate,True to size,Normal,Normal,Normal,Balanced/plush,Highly cushioned,Very stable,Medium,Guide,,,
Saucony,Omni 22,,Road,10.1 oz (286 g),$140.00,35 mm.,27 mm.,8 mm.,No plate,True to size,Tight,Tight,Tight,Balanced/plush,Medium cushioning,Some stability,Medium,,,,
Adidas,Supernova Solution,,Cushioning,10.3 oz (292 g),$140.00,36 mm.,26 mm.,10 mm.,No plate,True to size,Normal,Normal,Normal,Balanced,Medium cushioning,Very stable,Rigid,,,,
Puma,Fast-R Nitro Elite 2,Fast-R Nitro Elite,Racing,9 oz (255 g),$260.00,40 mm.,32 mm.,8 mm.,Full length carbon plate,True to size,Normal,Normal,Normal,Balanced/plush,Highly cushioned,Some stability,Rigid,,,,
Hoka One One,Mach 6,Mach 5,Lightweight,8.3 oz (235 g),$140.00,37 mm.,32 mm.,5 mm.,No plate,True to size,Normal,Tight,Normal,Responsive/balanced,Highly cushioned,Very stable,Medium,,,,
Asics,Gel Cumulus 26,Gel Cumulus 25,Cushioning,8.9 oz (252 g),$140.00,34 mm.,42 mm.,8 mm.,No plate,True to size,Normal,Normal,Tight,Responsive/balanced,Medium cushioning,Some stability,Rigid,Gel Cumulus,,,
Asics,Gel Trabuco 12,Gel Trabuco 11,Trail,11.1 oz (315 g),$140.00,36 mm.,28 mm.,8 mm.,No plate,Buy half size bigger,Normal,Wide,Normal,Responsive/balanced,Medium cushioning,Very stable,Medium,,Average protection,Provide Traction,Good
Asics,Trabuco Max 3,Trabuco Max 2,Trail,10.5 oz (298 g),$160.00,43 mm.,38 mm.,5 mm.,Plate in other materials,Buy half size bigger,Normal,Normal,Normal,Balanced,Highly cushioned,Some stability,Medium,,Solid protection,Provide Traction,Good
Altra,Lone Peak 8,Lone Peak 7,Trail,10.7 oz (303 g),$140.00,25 mm.,25 mm.,0 mm.,No plate,True to size,Normal,Normal,Wide,Responsive/balanced,Medium cushioning,Not particularly stable,Medium,,Not present,Provide Traction,Poor
New Balance,FuelCell Rebel v4,FuelCell Rebel v3,Lightweight,7.5 oz (213 g),$140.00,,,6 mm.,No plate,True to size,Normal,Wide,Wide,Responsive/balanced,Medium cushioning,Some stability,Flexible,,,,
The North Face,Altamesa 500,,Trail,10.4 oz (295 g),$155.00,38 mm.,32 mm.,6 mm.,No plate,True to size,Normal,Normal,Normal,Balanced/plush,Highly cushioned,Very stable,Rigid,,Not present,Average Traction,Adequate
ON,Cloudmonster 2,Cloudmonster,Cushioning,10.4 oz (295 g),$180.00,,,6 mm.,Plate in other materials,True to size,Normal,Normal,Wide,Balanced/plush,Highly cushioned,Some stability,Medium,,,,
Mizuno,Wave Inspire 20,Wave Inspire 19,Road,10.6 oz (301 g),$140.00,37.5 mm.,25.5 mm.,12 mm.,Plate in other materials,True to size,Tight,Normal,Wide,Balanced,Medium cushioning,Some stability,Medium,Wave Inspire,,,
